vlm_model,vlm_pretraining_dataset,imagenet_top1_accuracy,top1_accuracy
ViT-L-14-quickgelu,dfn2b,0.7738,87.03
ViT-H-14-quickgelu,metaclip_fullcc,0.7707,79.8
ViT-bigG-14,laion2b_s39b_b160k,0.7617,78.81
ViT-L-14,datacomp_xl_s13b_b90k,0.7555,84.15
convnext_xxlarge,laion2b_s34b_b82k_augreg_soup,0.7542,84.02
ViT-B-16-SigLIP2,webli,0.7531,73.92
EVA01-g-14,laion400m_s11b_b41k,0.7458,87.36
MobileCLIP-B,datacompdr_lt,0.7382,84.66
ViT-H-14,laion2b_s32b_b79k,0.7361,80.71
ViT-L-14,commonpool_xl_clip_s13b_b90k,0.7271,84.77
ViT-g-14,laion2b_s12b_b42k,0.7267,82.52
ViT-B-16,dfn2b,0.7183,82.65
coca_ViT-L-14,laion2b_s13b_b90k,0.7174,79.78
EVA02-B-16,merged2b_s8b_b131k,0.7124,85.15
ViT-L-14-336,openai,0.6986,68.25
ViT-B-16,datacomp_xl_s13b_b90k,0.6955,79.72
ViT-L-14,openai,0.6889,70.23
RN50x64,openai,0.6859,56.87
ViT-B-32,openai,0.5648,60.74
RN50,openai,0.5374,39.81
